旅館名稱Region,FIT類別FIT,"GROUP
類別
GROUP","類別合計
Total","本國
Domestic","?陸
China","?本
Japan",韓國Korea,"港澳
HK &
Macao","新加坡
Singapore","?來?亞
Malaysia","其他亞洲地區
Asia(Other
Asia Region)",北美North American,"歐洲
Europe","紐澳
NZ &
AU","其它
Other","華僑
Chinese
Overseas",合計Total,,
蘭城晶英酒店,"9,979",282,"10,261","8,968",212,11,0,819,40,0,57,91,19,36,8,0,"10,261",,
?榮鳳凰酒店(礁溪),"9,631","1,654","11,285","10,422",375,23,11,313,31,13,17,50,14,16,0,0,"11,285",,
綠舞國際觀光飯店,508,"2,031","2,539","2,539",0,0,0,0,0,0,0,0,0,0,0,0,"2,539",,
娜路彎?酒店,"6,892","3,915","10,807","9,018",979,17,4,20,0,0,25,30,25,9,680,0,"10,807",,
澎湖福朋喜來登酒店,"2,818",194,"3,012","2,712",60,12,9,18,0,0,11,158,2,2,28,0,"3,012",,
耐斯王??飯店,"6,093","5,690","11,783","8,005","2,475",200,597,13,5,95,127,201,22,19,24,0,"11,783",,
和昇帝景飯店,771,0,771,666,39,1,1,7,4,20,12,17,0,2,2,0,771,,
瓏?林台北中和飯店,"1,517",75,"1,592",977,141,38,30,25,28,28,15,143,138,12,17,0,"1,592",,
碧特弗?飯店,260,605,865,287,555,0,1,1,0,6,1,3,4,0,6,1,865,,
美麗春天?飯店,198,352,550,198,328,2,2,0,0,4,1,4,4,0,5,2,550,,
遠百企業觀光旅館,74,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,74,,
幼獅?飯店,231,84,315,315,0,0,0,0,0,0,0,0,0,0,0,0,315,,
?泉?飯店,992,"3,643","4,635","3,003",883,0,0,0,0,0,749,0,0,0,0,0,"4,635",,
悅川酒店,"4,763","1,266","6,029","5,963",3,0,2,53,0,4,0,0,0,4,0,0,"6,029",,
台東桂?喜來登酒店,"6,352","1,586","7,938","7,477",164,4,8,30,18,6,21,168,42,0,0,0,"7,938",,
寶華?飯店,5,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,5,,
?榮桂冠酒店(基隆),"4,517",772,"5,289","4,752",252,94,0,0,0,0,91,40,29,2,29,0,"5,289",,
鈺通?飯店,"1,215","2,010","3,225","1,206",72,28,"1,903",6,0,0,3,5,0,2,0,0,"3,225",,
陸島酒店,171,359,530,249,269,0,0,6,0,0,0,0,0,0,6,0,530,,
總計Total,"736,826","286,112","1,022,938","482,950","176,816","120,451","64,627","37,089","11,548","6,822","35,240","45,536","21,407","4,524","14,263","1,665","1,022,938",,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
https://taiwanstay.net.tw/module_page.php?module=statistical#statistical/statistical.php?action=show_table&hohr_id=225&start_year=2019&start_month=02&end_year=2019&end_month=02&select_case=0                  19/19,,,,,,,,,,,,,,,,,,,
