"台糖?榮酒店(台南) Evergreen Plaza
Hotel(Tainan)",,"9,562",370,"9,932","8,580",288,444,0,0,0,0,421,98,80,12,9,0,,"9,932"
"綠舞國際觀光飯店
Dancewoods Hotels
and Resorts",,"1,387",595,"1,982","1,980",0,0,0,0,0,0,0,2,0,0,0,0,,"1,982"
"娜路彎?酒店
Formosan Naruwan
Hotel & Resort Taitung",,"7,758","7,241","14,999","13,939",747,12,0,17,0,0,48,46,45,11,134,0,,"14,999"
"?板根渡假酒店
The Great Roots
Resort Hotel",,"2,516","4,840","7,356","7,292",0,0,0,54,10,0,0,0,0,0,0,0,,"7,356"
"蘭城晶英酒店
Silks Place Yilan",,"11,140",906,"12,046","11,490",42,4,4,345,17,3,0,73,26,36,6,0,,"12,046"
"台南?飯店
Hotel Tainan",,"5,149",159,"5,308","3,182",381,"1,092",0,0,0,0,356,58,50,45,144,0,,"5,308"
"和昇帝景飯店
lake.sunriseinn",,755,0,755,522,100,10,5,56,17,4,10,5,8,12,1,5,,755
"?泉?飯店
Sun Spring Resort",,"2,594","3,682","6,276","5,302",608,0,0,0,0,0,366,0,0,0,0,0,,"6,276"
"幼獅?飯店
Lion Hotel",,189,42,231,231,0,0,0,0,0,0,0,0,0,0,0,0,,231
"?榮桂冠酒店(基隆) Evergreen Laurel
Hotel (Keelung)",,"4,489","2,115","6,604","6,117",199,70,0,0,0,0,130,34,45,8,1,0,,"6,604"
"陸島酒店
LUDAO HOTEL",,135,203,338,115,223,0,0,0,0,0,0,0,0,0,0,0,,338
"美麗春天?飯店
Beautiful Hotel",,219,270,489,395,70,2,4,4,0,0,2,10,2,0,0,0,,489
"鈺通?飯店
Yuh-Tong Hotel",,835,623,"1,458",592,54,10,233,1,0,0,560,0,4,4,0,0,,"1,458"
"瓏?林台北中和飯店
RSL Hotel Taipei
Zhonghe",,"1,674",0,"1,674",506,338,102,104,41,100,51,21,195,132,12,72,0,,"1,674"
"碧特弗?飯店
Beautiful Hotel",,115,612,727,140,542,4,2,6,0,2,2,10,6,0,5,8,,727
"悅川酒店
The Walden",,"7,126","1,257","8,383","8,200",10,0,4,99,14,6,0,28,22,0,0,0,,"8,383"
"寶華?飯店
Bowa Hotel",,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,6
"遠百企業觀光旅館
Far Eastem Geant
Tourist Hotel",,72,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,,72
"台東桂?喜來登酒店
QUEENAPLAZA
HOTEL TAITUNG",,"5,522","1,549","7,071","6,636",119,25,27,29,4,0,0,183,42,6,0,0,,"7,071"
總計Total,,"721,514","315,519","1,037,033","479,056","129,881","154,940","62,238","29,505","15,145","6,162","33,270","68,981","27,182","8,252","19,677","2,744",,"1,037,033"
https://taiwanstay.net.tw/module_page.php?module=statistical#statistical/statistical.php?action=show_table&hohr_id=225&start_year=2019&start_month=01&end_year=2019&end_month=01&select_case=0                  21/21,,,,,,,,,,,,,,,,,,,
